,Payout,Portfolio_Value,Win,Loss,Surrender,Blackjack,Push
266,-50.0,1000.0,0,1,0,0,0
267,50.0,1050.0,0,0,1,0,0
268,50.0,1100.0,0,0,1,0,0
269,-50.0,1050.0,0,1,0,0,0
270,-50.0,1000.0,0,1,0,0,0
271,-25.0,975.0,0,0,1,0,0
272,50.0,1025.0,0,0,1,0,0
273,-25.0,1000.0,0,0,1,0,0
274,-50.0,950.0,0,1,0,0,0
275,-50.0,900.0,0,1,0,0,0
276,0.0,900.0,0,0,0,0,1
277,0.0,900.0,0,0,0,0,1
278,75.0,975.0,1,0,0,1,0
279,50.0,1025.0,0,0,1,0,0
280,50.0,1075.0,0,0,1,0,0
281,50.0,1125.0,0,0,1,0,0
281,0.0,1125.0,0,0,0,0,1
281,50.0,1175.0,0,0,1,0,0
282,-50.0,1125.0,0,0,1,0,0
283,50.0,1175.0,0,0,1,0,0
284,0.0,1175.0,0,0,0,0,1
285,-25.0,1150.0,0,0,1,0,0
286,0.0,1150.0,0,0,0,0,1
287,-50.0,1100.0,0,1,0,0,0
287,-50.0,1050.0,0,1,0,0,0
287,-50.0,1000.0,0,1,0,0,0
288,0.0,1000.0,0,0,0,0,1
289,50.0,1050.0,0,0,1,0,0
290,50.0,1100.0,0,0,1,0,0
291,-50.0,1050.0,0,0,1,0,0
292,50.0,1100.0,0,0,1,0,0
293,-50.0,1050.0,0,1,0,0,0
294,50.0,1100.0,0,0,1,0,0
295,50.0,1150.0,0,0,1,0,0
296,50.0,1200.0,0,0,1,0,0
297,0.0,1200.0,0,0,0,0,1
298,-50.0,1150.0,0,0,1,0,0
299,50.0,1200.0,0,0,1,0,0
300,-50.0,1150.0,0,1,0,0,0
301,-50.0,1100.0,0,1,0,0,0
302,50.0,1150.0,0,0,1,0,0
303,0.0,1150.0,0,0,0,0,1
304,50.0,1200.0,0,0,1,0,0
305,50.0,1250.0,0,0,1,0,0
306,50.0,1300.0,0,0,1,0,0
307,50.0,1350.0,0,0,1,0,0
308,-50.0,1300.0,0,0,1,0,0
309,50.0,1350.0,0,0,1,0,0
310,50.0,1400.0,0,0,1,0,0
311,50.0,1450.0,0,0,1,0,0
312,-50.0,1400.0,0,1,0,0,0
313,-50.0,1350.0,0,1,0,0,0
314,-50.0,1300.0,0,1,0,0,0
315,-50.0,1250.0,0,1,0,0,0
316,0.0,1250.0,0,0,0,0,1
317,50.0,1300.0,0,0,1,0,0
318,-50.0,1250.0,0,0,1,0,0
319,-50.0,1200.0,0,1,0,0,0
320,50.0,1250.0,0,0,1,0,0
321,50.0,1300.0,0,0,1,0,0
322,-50.0,1250.0,0,0,1,0,0
323,-50.0,1200.0,0,1,0,0,0
324,-50.0,1150.0,0,1,0,0,0
325,50.0,1200.0,0,0,1,0,0
326,-50.0,1150.0,0,1,0,0,0
327,75.0,1225.0,1,0,0,1,0
328,0.0,1225.0,0,0,0,0,1
329,-50.0,1175.0,0,1,0,0,0
330,-50.0,1125.0,0,1,0,0,0
